,0.0,0.2,0.4,0.6,0.8
1e-05,0.9898766279220581,0.9936612248420715,0.9911254048347473,,
0.0001,,,,,
0.001,,,,,
0.01,,,,,
0.1,,,,,
0.3,,,,,
0.5,,,,,
