,0.0,0.2,0.4,0.6,0.8
1e-05,tensor(0.6028),tensor(0.5059),tensor(0.4283),tensor(0.3574),tensor(0.2452)
0.0001,,,,,
0.001,,,,,
0.01,,,,,
0.1,,,,,
0.3,,,,,
0.5,,,,,
