,0.0,0.2,0.4,0.6,0.8
1e-05,6.339344024658203,8.7279052734375,15.883743286132812,14.803125381469727,18.98011589050293
0.0001,3.1975176334381104,4.807955741882324,6.210000038146973,6.800253868103027,8.348190307617188
0.001,inf,2.663780450820923,3.1116137504577637,inf,inf
0.01,,inf,,,
0.1,,,,,
0.3,,,,,
0.5,,,,,
