,0.0,0.2,0.4,0.6,0.8
1e-05,0.5590750575065613,0.47844719886779785,0.3973529040813446,0.2994174063205719,0.24587488174438477
0.0001,0.5797233581542969,0.4772252142429352,0.405855268239975,0.3354508876800537,0.25820332765579224
0.001,0.5848609805107117,0.46844059228897095,0.4029792845249176,0.3244064450263977,0.2852594256401062
0.01,0.6336445808410645,0.5085445642471313,0.4406701922416687,0.3389912545681,0.2336876094341278
0.1,0.6453671455383301,0.5238538980484009,0.4253573417663574,0.3752829134464264,0.2615973651409149
0.3,0.6588900089263916,0.5716840028762817,,,
0.5,,,,,
