,0.0,0.2,0.4,0.6,0.8
1e-05,0.588463306427002,0.5240329504013062,0.4178842008113861,0.32226017117500305,0.24176828563213348
0.0001,,,,,
0.001,,,,,
0.01,,,,,
0.1,,,,,
0.3,,,,,
0.5,,,,,
