,0.0,0.2,0.4,0.6,0.8
1e-05,0.1318451464176178,0.13916853070259094,0.1061263456940651,0.1377141773700714,0.1399722844362259
0.0001,0.12981247901916504,0.12367494404315948,0.1215648427605629,0.13927006721496582,0.14825090765953064
0.001,0.15243324637413025,0.1097097396850586,0.17112810909748077,0.12379886955022812,0.15037134289741516
0.01,0.20728209614753723,0.19398123025894165,0.18324482440948486,0.1772363930940628,0.16016626358032227
0.1,0.6005507707595825,0.5810108184814453,0.4838257431983948,0.40155935287475586,
0.3,,,,,
0.5,,,,,
